"station","latitude","longitude","elevation","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34"
"IRM00040858",28.945,50.835,20.7,30.83,32.17,31.63,33.73,34.29,34.6,34.87,35.91,35.2,35.31,34.66,34,35,35.21
"IS000009972",29.55,34.95,12,NA,NA,NA,NA,NA,36.47,34.81,36.04,36.5,35.81,35.21,35.37,35.17,35.01
"ISE00105694",32,34.7994,30,25.17,23.9,27.39,27.86,27.44,28.36,28.46,28.9,29.9,30.03,29.61,29.03,29.17,29.19
"ISM00040180",32.011,34.887,41.1,25.31,24.33,27.57,28.2,27.71,28.43,28.63,29.84,29.53,29.96,29.47,29.09,29.32,29.36
"ISM00040190",31.25,34.633,280,25.47,23.99,28.26,28.9,27.63,28.04,28.57,30.3,29.5,29.46,29.07,28.11,28.68,28.3
"JOM00040260",32.161,37.149,676.7,27.4,27.43,34.1,29,35.4,29.95,27.85,31.23,30.8,31.19,30.37,31.48,30.68,31.34
"JOM00040265",32.356,36.259,682.8,23.56,22.96,30.06,29.22,27.58,27.24,26,28.2,27.87,26.99,27.03,25.96,26.75,26.43
"JOM00040296",31.033,35.467,-350,32.4,30.61,36.03,35.85,35.48,36.13,35.35,38.03,37.88,37.27,37.53,36.13,36.47,35.62
"JOM00040310",30.167,35.783,1069,27.8,27.55,32.2,26.65,32.03,29.65,26.08,NA,32.4,29,28.34,29.37,30.77,30.77
"KE000063612",3.117,35.617,515,31.01,31.26,31.63,30.43,30.54,30.27,30.06,30.23,29.8,29.23,28.74,29.84,29.7,27.27
"KE000063619",3.533,39.033,1097,22.85,22.03,22.5,21.34,22.29,21.97,21.3,24.05,21.7,20.2,20.95,21.29,22.18,20.73
"KE000063624",3.933,41.867,231,31.77,31.53,31.89,30.83,31.5,31.09,30.07,30.9,30.06,30.49,31.1,30.24,30.85,29.87
"KE000063661",1.016,35,1875,19.49,20.24,19.77,18.87,18.53,19.21,18.43,18.51,18.7,18.73,18.61,18.63,18.15,17.87
"KE000063723",-0.467,39.633,147,31.24,30.77,30.61,29.81,29.41,29.99,29.14,29.24,28.7,28.89,29.27,28.54,29.73,29.29
"KE000063740",-1.317,36.917,1624,19.9,19.74,19.19,18.46,17.49,16.77,18.59,16.4,16.86,17.93,17.71,17.76,18.13,17.31
